Moteur, 4aDiesel
21.74828350809301, 1.899447555349227
20.21925828430676, 2.0801203529661585
18.95730301045041, 2.2779784946621087
17.92499243781632, 2.4946566263550576
16.952127773128975, 2.68718258876445
15.961404274405917, 2.9427836421614293
14.965196697500225, 3.222697110639843
13.97198827324269, 3.529235557153704
12.932428657232954, 3.92931239504976
11.919730088807821, 4.37474224881251
10.938954080715689, 4.911065882818002
9.952479071192517, 5.6049766280451045
8.94002425551927, 6.449992795292345
7.961450825344488, 7.546045313284048
6.939749320570176, 9.049857099237679
5.946055300832991, 11.125669841884577
4.964708973843257, 14.25435280262196
3.9715015801247504, 19.190801192981745
2.9789857022561215, 28.061603745799196
2.273473552452093, 39.69925507348623
1.990299457098201, 47.21905514567979
1.6690149556974978, 59.999999999999936
1.3240106490644352, 80.11419539148457
1.115303437530399, 99.30732863617814
1.0184404570149268, 119.09776522045867
1.0000000000000000, 138.18993537860047
